x23,x25,x4,x5,x13,x15,x30,x17,x18,x24,x27,x28,x29,x40,y
-0.982123919,-4.332427479,-0.713560371,-0.678364533,0,0,0,1,-2.577166348,-6.098317816,1,0,0,-0.574656106,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,1,0,-0.378732922,0
-0.982123919,-4.332427479,-0.482518989,-0.41011321,0,0,0,1,-2.577166348,-6.098317816,0,1,0,-0.720334623,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,1,0,0,1.331557596,0
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.834171923,0
-0.982123919,-4.332427479,0.78215291,1.141988841,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.998801387,0
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-1.059995317,0
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,1,1,-2.577166348,-6.098317816,0,0,0,1.01599137,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.832031414,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.426017407,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.262978772,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.833665451,1
-0.982123919,-4.332427479,1.322627891,1.453105276,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.92006912,0
-0.982123919,-4.332427479,1.438829077,1.453105276,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.720331093,1
-0.982123919,-4.332427479,0.378610872,0.633796458,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.834192937,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.426017407,1
-0.982123919,-4.332427479,1.191605126,0.471578113,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.574177279,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,1,0,-0.720746078,1
-0.982123919,-4.332427479,0.405338551,0.667124051,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.717914262,1
-0.982123919,-4.332427479,1.311265847,0.238988906,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.924946771,1
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-1.060160687,1
-0.982123919,-4.332427479,-0.587064362,-0.532232448,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.403073748,0
